,line,destination,stop,bus,datetime,estimateArrive,DistanceBus
524,132,HOSPITAL LA PAZ,1649,4831,2020-05-18 12:11:45.100657,266,1165
525,132,HOSPITAL LA PAZ,1649,8326,2020-05-18 12:11:45.100657,478,2132
526,44,MARQUES DE VIANA,2394,4718,2020-05-18 12:11:46.481815,1030,3726
527,44,MARQUES DE VIANA,2394,4741,2020-05-18 12:11:46.481815,1874,3878
528,132,HOSPITAL LA PAZ,1373,4692,2020-05-18 12:11:45.631299,697,2805
529,132,HOSPITAL LA PAZ,1373,4831,2020-05-18 12:11:45.631299,1171,5023
530,82,MONCLOA,1630,4713,2020-05-18 12:11:46.456329,104,802
531,82,MONCLOA,1630,4710,2020-05-18 12:11:46.456329,811,2129
532,132,MONCLOA,1367,4827,2020-05-18 12:11:45.481680,58,303
533,132,MONCLOA,1367,4828,2020-05-18 12:11:45.481680,310,1712
534,132,HOSPITAL LA PAZ,3288,4692,2020-05-18 12:11:46.213262,784,3209
535,133,CALLAO,23,4685,2020-05-18 12:11:46.699663,833,7789
536,1,CRISTO REY,722,116,2020-05-18 12:11:46.515621,700,845
537,132,HOSPITAL LA PAZ,4175,4832,2020-05-18 12:11:45.136303,136,485
538,132,HOSPITAL LA PAZ,4175,4835,2020-05-18 12:11:45.136303,310,877
539,82,PITIS,4175,4723,2020-05-18 12:11:45.136303,643,969
540,82,PITIS,4175,4715,2020-05-18 12:11:45.136303,1364,1776
541,44,MARQUES DE VIANA,1678,8301,2020-05-18 12:11:45.862484,776,2345
542,44,MARQUES DE VIANA,1678,4718,2020-05-18 12:11:45.862484,1667,6221
543,133,MIRASIERRA,1618,4860,2020-05-18 12:11:46.789188,136,570
544,133,MIRASIERRA,1618,5474,2020-05-18 12:11:46.789188,825,5574
545,82,MONCLOA,3047,4715,2020-05-18 12:11:46.103726,117,546
546,82,MONCLOA,3047,4717,2020-05-18 12:11:46.103726,1236,5702
547,133,CALLAO,740,4689,2020-05-18 12:11:45.872358,261,2714
548,133,CALLAO,740,4685,2020-05-18 12:11:45.872358,1072,9964
549,132,HOSPITAL LA PAZ,1605,4834,2020-05-18 12:11:45.629853,58,535
550,132,HOSPITAL LA PAZ,1605,4692,2020-05-18 12:11:45.629853,866,3758
551,132,HOSPITAL LA PAZ,1674,8326,2020-05-18 12:11:46.456193,159,668
552,132,HOSPITAL LA PAZ,1674,4832,2020-05-18 12:11:46.456193,1002,5415
553,132,HOSPITAL LA PAZ,1512,4692,2020-05-18 12:11:45.527176,235,728
554,132,HOSPITAL LA PAZ,1512,4831,2020-05-18 12:11:45.527176,751,3030
555,133,CALLAO,1615,4685,2020-05-18 12:11:45.090061,75,485
556,133,CALLAO,1615,4697,2020-05-18 12:11:45.090061,647,2531
557,133,CALLAO,1350,4685,2020-05-18 12:11:45.616096,543,3525
558,133,CALLAO,1350,4697,2020-05-18 12:11:45.616096,1074,5396
559,82,PITIS,3756,4708,2020-05-18 12:11:45.117385,992,5143
560,132,HOSPITAL LA PAZ,1786,4692,2020-05-18 12:11:46.515952,369,1193
561,132,HOSPITAL LA PAZ,1786,4831,2020-05-18 12:11:46.515952,878,3498
562,133,MIRASIERRA,1354,5474,2020-05-18 12:11:47.132450,404,3935
563,133,MIRASIERRA,1354,4699,2020-05-18 12:11:47.132450,1114,8700
564,82,MONCLOA,1727,4713,2020-05-18 12:11:46.931570,311,1838
565,82,MONCLOA,1727,4710,2020-05-18 12:11:46.931570,1040,3278
566,132,MONCLOA,3282,4837,2020-05-18 12:11:46.856569,258,1236
567,132,MONCLOA,3282,4825,2020-05-18 12:11:46.856569,590,2713
568,1,PROSPERIDAD,424,121,2020-05-18 12:11:45.129441,431,1525
569,1,PROSPERIDAD,424,118,2020-05-18 12:11:45.129441,1367,4386
570,82,PITIS,1726,4721,2020-05-18 12:11:45.521767,463,1903
571,82,PITIS,1726,4708,2020-05-18 12:11:45.521767,1466,7089
572,132,HOSPITAL LA PAZ,3277,4832,2020-05-18 12:11:45.158550,577,3419
573,132,HOSPITAL LA PAZ,3277,4835,2020-05-18 12:11:45.158550,697,3735
574,132,HOSPITAL LA PAZ,3290,4834,2020-05-18 12:11:46.105754,23,246
575,132,HOSPITAL LA PAZ,3290,4692,2020-05-18 12:11:46.105754,825,3494
576,133,MIRASIERRA,5456,5474,2020-05-18 12:11:45.631744,518,4204
577,133,MIRASIERRA,5456,4699,2020-05-18 12:11:45.631744,1206,9016
578,82,MONCLOA,1717,4713,2020-05-18 12:11:46.210563,535,3303
579,82,MONCLOA,1717,4710,2020-05-18 12:11:46.210563,1247,4598
580,133,CALLAO,1353,4685,2020-05-18 12:11:46.495415,451,2720
581,133,CALLAO,1353,4697,2020-05-18 12:11:46.495415,1017,4565
582,44,MARQUES DE VIANA,2390,4718,2020-05-18 12:11:47.189242,883,3010
583,44,MARQUES DE VIANA,2390,4741,2020-05-18 12:11:47.189242,1735,3182
584,132,HOSPITAL LA PAZ,1643,4831,2020-05-18 12:11:46.853772,129,446
585,132,HOSPITAL LA PAZ,1643,8326,2020-05-18 12:11:46.853772,332,1230
586,132,MONCLOA,3291,4828,2020-05-18 12:11:46.179978,32,213
587,132,MONCLOA,3291,4733,2020-05-18 12:11:46.179978,210,420
588,44,CALLAO,2391,4737,2020-05-18 12:11:46.795722,768,2107
589,44,CALLAO,2391,4722,2020-05-18 12:11:46.795722,1856,3927
590,82,PITIS,1686,4708,2020-05-18 12:11:46.510607,10,80
591,132,HOSPITAL LA PAZ,1686,4832,2020-05-18 12:11:46.510607,262,1557
592,132,HOSPITAL LA PAZ,1686,4835,2020-05-18 12:11:46.510607,420,1910
593,82,PITIS,1686,4723,2020-05-18 12:11:46.510607,782,1994
594,82,PITIS,1629,4721,2020-05-18 12:11:46.440422,718,2968
595,82,PITIS,1629,4708,2020-05-18 12:11:46.440422,1708,8135
596,82,MONCLOA,4292,4710,2020-05-18 12:11:46.091254,553,112
597,82,MONCLOA,4292,4721,2020-05-18 12:11:46.091254,1633,5089
598,133,MIRASIERRA,3293,4860,2020-05-18 12:11:45.585432,416,1837
599,133,MIRASIERRA,3293,5474,2020-05-18 12:11:45.585432,1113,6976
600,1,CRISTO REY,718,116,2020-05-18 12:11:46.439765,637,487
601,1,CRISTO REY,718,124,2020-05-18 12:11:46.439765,1297,2237
602,82,PITIS,1689,4708,2020-05-18 12:11:45.590502,108,572
603,132,HOSPITAL LA PAZ,1689,4832,2020-05-18 12:11:45.590502,292,1827
604,132,HOSPITAL LA PAZ,1689,4835,2020-05-18 12:11:45.590502,472,2338
605,82,PITIS,1689,4723,2020-05-18 12:11:45.590502,858,2425
606,1,CRISTO REY,273,116,2020-05-18 12:11:45.534805,433,0
607,1,CRISTO REY,273,124,2020-05-18 12:11:45.534805,1093,1728
608,132,MONCLOA,1604,4733,2020-05-18 12:11:46.929501,172,144
609,1,PROSPERIDAD,724,118,2020-05-18 12:11:46.256307,859,2663
610,1,PROSPERIDAD,724,123,2020-05-18 12:11:46.256307,1705,3062
611,1,PROSPERIDAD,723,118,2020-05-18 12:11:45.607396,788,2330
612,1,PROSPERIDAD,723,123,2020-05-18 12:11:45.607396,1619,2864
613,132,MONCLOA,1654,4825,2020-05-18 12:11:46.083826,52,169
614,132,MONCLOA,1654,4838,2020-05-18 12:11:46.083826,355,1186
615,82,PITIS,1716,4721,2020-05-18 12:11:45.632631,41,241
616,82,PITIS,1716,4708,2020-05-18 12:11:45.632631,1054,5494
617,44,CALLAO,1677,4722,2020-05-18 12:11:45.639527,831,1127
618,44,CALLAO,1677,8301,2020-05-18 12:11:45.639527,1911,4204
619,132,MONCLOA,1371,4828,2020-05-18 12:11:46.779838,214,1281
620,132,MONCLOA,1371,4733,2020-05-18 12:11:46.779838,393,1359
621,133,MIRASIERRA,1614,4860,2020-05-18 12:11:45.161788,213,965
622,133,MIRASIERRA,1614,5474,2020-05-18 12:11:45.161788,904,6002
623,44,MARQUES DE VIANA,2400,8301,2020-05-18 12:11:45.875513,504,1595
624,44,MARQUES DE VIANA,2400,4718,2020-05-18 12:11:45.875513,1457,5478
625,1,CRISTO REY,449,122,2020-05-18 12:11:47.705589,777,2616
626,1,CRISTO REY,449,116,2020-05-18 12:11:47.705589,1489,3237
