,line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,anom
213,132,2020-05-06 14:51:49.367631,2,0.59934,0,4834,4830,4848,0,0,0,0,0,0,328,558,0,0,0,0,0,0,0.0
215,132,2020-05-06 14:51:49.367631,3,1.05791,0,4829,4834,4830,4848,0,0,0,0,0,324,328,558,0,0,0,0,0,0.0
217,1,2020-05-06 14:52:41.389306,1,0.60723,0,5529,119,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0.0
218,1,2020-05-06 14:52:41.389306,1,0.10247,0,120,118,0,0,0,0,0,0,0,907,0,0,0,0,0,0,0,0.0
219,1,2020-05-06 14:52:41.389306,1,0.74912,0,119,123,0,0,0,0,0,0,0,1182,0,0,0,0,0,0,0,0.0
220,1,2020-05-06 14:52:41.389306,1,0.80486,0,118,116,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0.0
221,82,2020-05-06 14:52:42.858348,1,0.6295,0,4712,4705,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0.0
222,82,2020-05-06 14:52:42.858348,1,1.16265,0,4708,4715,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0.0
223,132,2020-05-06 14:52:39.349742,1,0.61741,0,4829,4834,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0.0
224,132,2020-05-06 14:52:39.349742,1,0.57751,0,4834,4830,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0.0
225,132,2020-05-06 14:52:39.349742,1,0.38897,0,4830,4848,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0.0
226,133,2020-05-06 14:52:39.917476,1,0.71292,0,4683,4698,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0.0
227,133,2020-05-06 14:52:39.917476,1,3.79552,5,4697,4699,0,0,0,0,0,0,0,1806,0,0,0,0,0,0,0,1.0
228,133,2020-05-06 14:52:39.917476,1,0.05329,0,4698,4684,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0.0
230,1,2020-05-06 14:52:41.389306,2,0.6462,0,5529,119,123,0,0,0,0,0,0,744,1182,0,0,0,0,0,0,0.0
231,1,2020-05-06 14:52:41.389306,2,0.86318,0,120,118,116,0,0,0,0,0,0,907,1200,0,0,0,0,0,0,0.0
232,132,2020-05-06 14:52:39.349742,2,1.13738,0,4829,4834,4830,0,0,0,0,0,0,316,325,0,0,0,0,0,0,0.0
233,132,2020-05-06 14:52:39.349742,2,0.58493,0,4834,4830,4848,0,0,0,0,0,0,325,543,0,0,0,0,0,0,0.0
234,133,2020-05-06 14:52:39.917476,2,1.13287,0,4683,4698,4684,0,0,0,0,0,0,937,721,0,0,0,0,0,0,0.0
236,132,2020-05-06 14:52:39.349742,3,1.09614,0,4829,4834,4830,4848,0,0,0,0,0,316,325,543,0,0,0,0,0,0.0
238,1,2020-05-06 14:53:29.279083,1,0.72181,0,5529,119,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0.0
239,1,2020-05-06 14:53:29.279083,1,0.04983,0,120,118,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0.0
240,1,2020-05-06 14:53:29.279083,1,0.57571,0,119,123,0,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0.0
241,1,2020-05-06 14:53:29.279083,1,0.83273,0,118,116,0,0,0,0,0,0,0,1209,0,0,0,0,0,0,0,0.0
242,82,2020-05-06 14:53:30.645217,1,0.72208,0,4712,4705,0,0,0,0,0,0,0,1060,0,0,0,0,0,0,0,0.0
243,82,2020-05-06 14:53:30.645217,1,1.17861,0,4708,4715,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0.0
244,82,2020-05-06 14:53:30.645217,1,0.86779,0,4705,4710,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0.0
245,132,2020-05-06 14:53:29.225965,1,0.87898,0,4829,4834,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0.0
246,132,2020-05-06 14:53:29.225965,1,0.47111,0,4834,4830,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0.0
247,132,2020-05-06 14:53:29.225965,1,0.29143,0,4830,4848,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0.0
248,133,2020-05-06 14:53:31.787181,1,0.78742,0,4683,4698,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0.0
249,133,2020-05-06 14:53:31.787181,1,3.66782,6,4697,4699,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,1.0
250,133,2020-05-06 14:53:31.787181,1,0.0212,0,4698,4684,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0.0
252,1,2020-05-06 14:53:29.279083,2,0.51217,0,5529,119,123,0,0,0,0,0,0,707,1126,0,0,0,0,0,0,0.0
253,1,2020-05-06 14:53:29.279083,2,0.92647,0,120,118,116,0,0,0,0,0,0,924,1209,0,0,0,0,0,0,0.0
254,82,2020-05-06 14:53:30.645217,2,1.59125,0,4712,4705,4710,0,0,0,0,0,0,1060,562,0,0,0,0,0,0,0.0
255,132,2020-05-06 14:53:29.225965,2,1.27829,0,4829,4834,4830,0,0,0,0,0,0,257,349,0,0,0,0,0,0,0.0
256,132,2020-05-06 14:53:29.225965,2,0.46829,0,4834,4830,4848,0,0,0,0,0,0,349,521,0,0,0,0,0,0,0.0
257,133,2020-05-06 14:53:31.787181,2,1.24537,0,4683,4698,4684,0,0,0,0,0,0,958,742,0,0,0,0,0,0,0.0
259,132,2020-05-06 14:53:29.225965,3,1.22963,0,4829,4834,4830,4848,0,0,0,0,0,257,349,521,0,0,0,0,0,0.0
261,1,2020-05-06 14:54:20.011427,1,0.74348,0,5529,119,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0.0
262,1,2020-05-06 14:54:20.011427,1,0.06841,0,120,118,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,0.0
263,1,2020-05-06 14:54:20.011427,1,0.63145,0,119,123,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,0.0
264,1,2020-05-06 14:54:20.011427,1,0.80486,0,118,116,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0.0
265,82,2020-05-06 14:54:19.226002,1,0.81467,0,4712,4705,0,0,0,0,0,0,0,1089,0,0,0,0,0,0,0,0.0
266,82,2020-05-06 14:54:19.226002,1,1.07326,0,4708,4715,0,0,0,0,0,0,0,1170,0,0,0,0,0,0,0,0.0
